,index,variable,value
41404,Cdh1,367.2004858604998,1.0
41405,Clb6,367.2004858604998,0.0
41406,MBF,367.2004858604998,1.0
41407,Nrm1,367.2004858604998,0.0
41408,Cdh1,367.2104858604998,1.0
41409,Clb6,367.2104858604998,0.0
41410,MBF,367.2104858604998,1.0
41411,Nrm1,367.2104858604998,0.0
41412,Cdh1,367.22048586049976,1.0
41413,Clb6,367.22048586049976,0.0
41414,MBF,367.22048586049976,1.0
41415,Nrm1,367.22048586049976,0.0
41416,Cdh1,367.23048586049975,1.0
41417,Clb6,367.23048586049975,0.0
41418,MBF,367.23048586049975,1.0
41419,Nrm1,367.23048586049975,0.0
41420,Cdh1,367.24048586049975,1.0
41421,Clb6,367.24048586049975,0.0
41422,MBF,367.24048586049975,1.0
41423,Nrm1,367.24048586049975,0.0
41424,Cdh1,367.25048586049974,1.0
41425,Clb6,367.25048586049974,0.0
41426,MBF,367.25048586049974,1.0
41427,Nrm1,367.25048586049974,0.0
41428,Cdh1,367.2604858604997,1.0
41429,Clb6,367.2604858604997,0.0
41430,MBF,367.2604858604997,1.0
41431,Nrm1,367.2604858604997,0.0
41432,Cdh1,367.2704858604997,1.0
41433,Clb6,367.2704858604997,0.0
41434,MBF,367.2704858604997,1.0
41435,Nrm1,367.2704858604997,0.0
41436,Cdh1,367.2804858604997,1.0
41437,Clb6,367.2804858604997,0.0
41438,MBF,367.2804858604997,1.0
41439,Nrm1,367.2804858604997,0.0
41440,Cdh1,367.2904858604997,1.0
41441,Clb6,367.2904858604997,0.0
41442,MBF,367.2904858604997,1.0
41443,Nrm1,367.2904858604997,0.0
41444,Cdh1,367.3004858604997,1.0
41445,Clb6,367.3004858604997,0.0
41446,MBF,367.3004858604997,1.0
41447,Nrm1,367.3004858604997,0.0
41448,Cdh1,367.3104858604997,1.0
41449,Clb6,367.3104858604997,0.0
41450,MBF,367.3104858604997,1.0
41451,Nrm1,367.3104858604997,0.0
41452,Cdh1,367.3204858604997,1.0
41453,Clb6,367.3204858604997,0.0
41454,MBF,367.3204858604997,1.0
41455,Nrm1,367.3204858604997,0.0
41456,Cdh1,367.33048586049966,1.0
41457,Clb6,367.33048586049966,0.0
41458,MBF,367.33048586049966,1.0
41459,Nrm1,367.33048586049966,0.0
41460,Cdh1,367.34048586049965,1.0
41461,Clb6,367.34048586049965,0.0
41462,MBF,367.34048586049965,1.0
41463,Nrm1,367.34048586049965,0.0
41464,Cdh1,367.35048586049965,1.0
41465,Clb6,367.35048586049965,0.0
41466,MBF,367.35048586049965,1.0
41467,Nrm1,367.35048586049965,0.0
41468,Cdh1,367.36048586049964,1.0
41469,Clb6,367.36048586049964,0.0
41470,MBF,367.36048586049964,1.0
41471,Nrm1,367.36048586049964,0.0
41472,Cdh1,367.3704858604996,1.0
41473,Clb6,367.3704858604996,0.0
41474,MBF,367.3704858604996,1.0
41475,Nrm1,367.3704858604996,0.0
41476,Cdh1,367.3804858604996,1.0
41477,Clb6,367.3804858604996,0.0
41478,MBF,367.3804858604996,1.0
41479,Nrm1,367.3804858604996,0.0
41480,Cdh1,367.3904858604996,1.0
41481,Clb6,367.3904858604996,0.0
41482,MBF,367.3904858604996,1.0
